Date,Total
23/01/2022,129055924269.42722
24/01/2022,132533800482.16136
25/01/2022,128568082268.1934
26/01/2022,132167708724.00406
27/01/2022,133294337514.27084
28/01/2022,125633401998.0305
29/01/2022,126595355364.22012
30/01/2022,128147389875.60048
31/01/2022,126433123693.36217
01/02/2022,129120214991.36334
02/02/2022,131970867607.13768
03/02/2022,128289138742.7934
04/02/2022,129956287153.59145
05/02/2022,137701353089.16367
06/02/2022,139913048026.60962
07/02/2022,141670493792.74048
08/02/2022,144017601538.5679
09/02/2022,144131511993.38623
10/02/2022,146542722162.5944
11/02/2022,142452836538.56717
12/02/2022,138805837164.2217
13/02/2022,138760593552.24084
14/02/2022,138123297082.71274
15/02/2022,139092378006.53992
16/02/2022,144651956435.52808
17/02/2022,143790183415.69916
18/02/2022,137302915330.64618
19/02/2022,135408695000.61456
20/02/2022,134699316564.32137
21/02/2022,131758430172.50206
22/02/2022,128489123367.14136
23/02/2022,130669892980.3039
24/02/2022,129561481539.43063
25/02/2022,129617019341.75684
26/02/2022,133664163490.40813
27/02/2022,134603377699.03078
28/02/2022,130956938290.1968
01/03/2022,140569736892.7149
02/03/2022,141678618475.1475
03/03/2022,142530051467.12997
04/03/2022,136390509637.65306
05/03/2022,132573268022.44522
06/03/2022,134650297074.852
07/03/2022,130555205045.3529
08/03/2022,130626097673.18228
09/03/2022,133147047328.02097
10/03/2022,136836230996.6969
11/03/2022,134774586791.48056
12/03/2022,133807909423.01273
13/03/2022,133889919500.46704
14/03/2022,132200030083.6773
15/03/2022,133609151291.293
16/03/2022,135529091546.72691
17/03/2022,139923939031.8597
18/03/2022,140143172886.42285
19/03/2022,144457365155.78845
20/03/2022,144577328415.01825
21/03/2022,142638387731.49274
22/03/2022,146768428627.1828
23/03/2022,148539372634.40506
24/03/2022,150253054371.32953
25/03/2022,151508591091.80072
26/03/2022,150476897247.99103
27/03/2022,152399245177.50943
28/03/2022,156019873258.8189
29/03/2022,157534428543.21384
30/03/2022,159958693374.3785
31/03/2022,161048489140.53812
01/04/2022,157715457112.90887
02/04/2022,161928964594.6697
03/04/2022,161991300677.33875
04/04/2022,163165235729.9281
05/04/2022,162633224312.22568
06/04/2022,158830862706.38788
07/04/2022,152532301764.51212
08/04/2022,154901400245.9062
09/04/2022,151534835852.20096
10/04/2022,153642500716.32492
11/04/2022,150426370568.15652
12/04/2022,143142828126.0186
13/04/2022,146227936387.85037
14/04/2022,148492544980.67673
15/04/2022,145911301329.94946
16/04/2022,147309380962.58414
17/04/2022,147919633120.05292
18/04/2022,145498351805.10815
19/04/2022,149033061838.57074
20/04/2022,149972859556.06976
21/04/2022,148200980433.11096
22/04/2022,145197022772.5408
23/04/2022,144437812183.1857
24/04/2022,145082378753.32788
25/04/2022,144102309310.97363
26/04/2022,147422902077.92218
27/04/2022,141626281136.81955
28/04/2022,144490079178.03943
29/04/2022,144077307016.04276
30/04/2022,140308855911.466
01/05/2022,135695588900.3678
02/05/2022,138098200765.76477
03/05/2022,138120633829.30194
04/05/2022,138123333691.9063
05/05/2022,142813386325.62518
06/05/2022,137002062562.17924
07/05/2022,135813086910.3392
08/05/2022,130689264384.46716
09/05/2022,125981557759.62314
10/05/2022,109300940758.731
11/05/2022,107010587741.53882
12/05/2022,89945268153.75839
13/05/2022,78486313390.04301
14/05/2022,79014036465.83887
15/05/2022,79317937867.77132
16/05/2022,81249666354.4958
17/05/2022,78387059371.32439
18/05/2022,79980663730.40866
19/05/2022,75762959664.95232
20/05/2022,78427117698.49051
21/05/2022,76248690214.37704
22/05/2022,77030844135.53737
23/05/2022,79679033071.95001
24/05/2022,78296352030.69122
25/05/2022,79360593444.97057
26/05/2022,79508353975.03818
27/05/2022,75758457098.57582
28/05/2022,74843182052.37347
29/05/2022,75956695165.42632
30/05/2022,75704957708.76158
31/05/2022,79674811420.27785
01/06/2022,80037571579.42351
02/06/2022,77142691729.08185
03/06/2022,77633247137.24063
04/06/2022,75934633965.29347
05/06/2022,75541731378.64339
06/06/2022,75819589296.34525
07/06/2022,76181930101.27003
08/06/2022,76238496939.13586
09/06/2022,75608864733.82617
10/06/2022,74423505945.47906
11/06/2022,72105843958.51747
12/06/2022,69349471242.60999
13/06/2022,66436512802.906006
14/06/2022,57674409013.373055
15/06/2022,55814922930.705215
16/06/2022,55516490227.343216
